timestamp,pressure_sensor_A0,pressure_sensor_A1,pressure_sensor_A2
1743883447.6102228,170,99,226
1743883447.610487,169,95,79
1743883447.6107454,167,97,78
1743883447.61101,165,97,77
1743883447.6112711,165,95,77
1743883447.611531,169,98,77
1743883447.6117895,167,95,79
1743883447.6120622,172,98,216
1743883447.612343,174,99,299
1743883447.6126304,185,104,456
1743883447.612924,191,106,645
1743883447.6132991,190,104,673
1743883447.6134512,196,107,761
1743883447.6135967,195,108,810
1743883447.6137407,197,106,845
1743883447.613885,200,109,881
1743883447.6140387,199,108,891
1743883447.6141906,197,107,893
1743883447.6143417,199,110,903
1743883447.6144936,197,109,902
1743883447.6146467,197,106,910
1743883447.6147983,197,108,915
1743883447.6149552,197,108,915
1743883447.6151056,197,108,919
1743883447.6152575,198,110,917
1743883447.61541,198,107,911
1743883447.6155605,196,109,908
1743883447.6157107,199,108,913
1743883447.615882,196,109,911
1743883447.616038,199,108,911
1743883447.6162076,198,108,917
1743883447.6163926,195,109,921
1743883447.6165538,198,110,922
1743883447.616715,199,108,920
1743883447.616876,195,105,924
1743883447.61704,198,109,920
1743883447.6172016,198,107,916
1743883447.6173635,194,107,916
1743883447.6175244,198,111,917
1743883447.6176858,197,108,916
1743883447.617847,195,107,920
1743883447.6180153,200,108,915
1743883447.6181765,198,108,921
1743883447.6183376,196,104,914
1743883447.618498,200,106,917
1743883447.618659,196,108,919
1743883447.6188192,196,107,903
1743883447.6189845,198,107,906
1743883447.619155,196,107,897
1743883447.6193275,196,107,914
1743883447.6194994,197,107,916
1743883447.6196713,197,107,922
1743883447.647207,196,106,915
1743883447.685989,197,107,903
1743883447.725058,196,106,912
1743883447.764111,197,107,915
1743883447.8032534,198,107,918
1743883447.842278,196,106,907
1743883447.8813584,196,109,895
1743883447.9204452,198,108,899
1743883447.9594963,194,107,910
1743883447.998621,196,109,910
1743883448.0376716,196,108,912
1743883448.0770445,193,106,908
1743883448.1162713,197,109,917
