timestamp,pressure_sensor_A0,pressure_sensor_A1,pressure_sensor_A2
1743883653.9244218,239,799,917
1743883653.9246855,237,779,932
1743883653.9250045,237,822,933
1743883653.9252856,241,790,924
1743883653.9255571,236,798,908
1743883653.925836,236,806,926
1743883653.9261167,241,812,916
1743883653.9263685,236,789,917
1743883653.9266167,234,785,901
1743883653.9268672,235,740,899
1743883653.9271138,227,676,864
1743883653.927342,228,703,862
1743883653.9275723,231,721,843
1743883653.9278007,232,732,882
1743883653.9280355,229,704,866
1743883653.9282594,233,756,873
1743883653.9284728,233,759,882
1743883653.9286845,232,763,878
1743883653.9289088,235,769,894
1743883653.9291139,233,750,893
1743883653.9293134,237,786,904
1743883653.9295104,237,833,888
1743883653.929708,235,815,899
1743883653.9299715,237,819,865
1743883653.9301748,236,809,873
1743883653.9303663,233,830,889
1743883653.9305534,238,827,886
1743883653.930739,235,822,895
1743883653.930981,235,818,908
1743883653.9311895,242,837,912
1743883653.931374,238,829,896
1743883653.9315484,232,810,860
1743883653.9317236,238,816,856
1743883653.9319038,233,808,850
1743883653.9320848,232,835,817
1743883653.932256,226,796,688
1743883653.9324229,227,784,782
1743883653.9325888,230,796,832
1743883653.9327548,234,805,808
1743883653.932947,235,829,829
1743883653.9331152,232,839,844
1743883653.9333105,235,822,836
1743883653.9334884,231,810,821
1743883653.9337473,231,795,832
1743883653.9340057,231,784,804
1743883653.9342136,229,786,807
1743883653.9344087,231,780,822
1743883653.9345758,231,812,800
1743883653.9347427,230,804,824
1743883653.9349194,235,828,861
1743883653.935105,235,835,854
1743883653.9528859,232,822,879
1743883653.992357,234,781,864
1743883654.031613,234,788,847
1743883654.070438,227,786,855
1743883654.1093721,236,787,877
1743883654.1488507,233,790,858
1743883654.187498,229,789,865
1743883654.226554,239,797,886
1743883654.2655509,229,771,841
1743883654.3046832,230,789,878
1743883654.343755,238,794,900
1743883654.3830926,235,797,899
1743883654.4214914,231,819,876
1743883654.4610856,238,799,892
