timestamp,pressure_sensor_A0,pressure_sensor_A1,pressure_sensor_A2
1743883337.0048406,917,94,72
1743883337.0052114,917,94,72
1743883337.0055277,922,93,73
1743883337.0058439,932,93,73
1743883337.0061426,935,93,72
1743883337.0064285,930,94,72
1743883337.006711,933,94,73
1743883337.0069957,938,93,73
1743883337.0072513,943,94,72
1743883337.0075085,946,95,72
1743883337.0077622,946,94,73
1743883337.0080016,946,93,72
1743883337.008236,938,92,72
1743883337.008473,926,94,73
1743883337.0087063,933,93,72
1743883337.0089328,933,94,72
1743883337.009148,934,92,72
1743883337.0093632,934,93,72
1743883337.009578,932,92,72
1743883337.009794,925,93,73
1743883337.0100014,938,94,73
1743883337.0102038,940,94,73
1743883337.0104034,942,96,73
1743883337.010603,939,94,73
1743883337.0108032,938,95,73
1743883337.0109992,938,92,72
1743883337.011186,929,94,73
1743883337.011372,927,93,72
1743883337.0115573,926,92,73
1743883337.0117438,924,91,72
1743883337.0119376,928,93,72
1743883337.012118,932,94,73
1743883337.012292,931,95,73
1743883337.0124693,930,93,73
1743883337.0126438,923,92,72
1743883337.0128193,933,93,73
1743883337.0130002,935,94,73
1743883337.0131688,933,92,74
1743883337.0133336,927,93,72
1743883337.0134976,921,94,72
1743883337.0137477,926,95,73
1743883337.0139184,931,93,73
1743883337.0140848,930,93,73
1743883337.0142517,927,92,72
1743883337.0144165,940,94,73
1743883337.0145812,937,93,73
1743883337.0147448,936,94,72
1743883337.0149162,932,92,72
1743883337.0150836,942,94,74
1743883337.0152507,943,94,73
1743883337.0154178,945,95,73
1743883337.0155864,946,94,74
1743883337.015754,940,93,72
1743883337.015929,940,94,74
1743883337.0160954,942,94,73
1743883337.0513465,944,94,73
1743883337.0884056,943,94,73
1743883337.125475,941,94,73
1743883337.1627572,937,95,73
1743883337.1999693,940,95,73
1743883337.2370381,942,95,71
1743883337.2738526,938,92,72
1743883337.3107235,937,95,74
1743883337.3476143,930,95,73
1743883337.3848536,937,93,73
1743883337.421754,941,93,72
1743883337.4592373,936,94,74
1743883337.4963176,929,94,73
1743883337.5331807,924,95,72
