timestamp,pressure_sensor_A0,pressure_sensor_A1,pressure_sensor_A2
1743883453.7633321,196,106,898
1743883453.763625,194,103,897
1743883453.7639084,200,109,902
1743883453.7641826,195,107,900
1743883453.7644346,195,106,904
1743883453.764682,197,108,901
1743883453.7649374,196,106,903
1743883453.7651818,195,105,899
1743883453.7654133,196,109,898
1743883453.7656434,197,106,899
1743883453.7660203,196,106,900
1743883453.7662537,197,107,903
1743883453.7664738,195,108,898
1743883453.7666852,196,107,900
1743883453.7669036,197,109,900
1743883453.7671146,195,107,900
1743883453.7673154,196,108,899
1743883453.7675126,196,107,900
1743883453.767711,196,107,904
1743883453.7679136,197,107,901
1743883453.7681105,197,106,899
1743883453.7683024,194,107,900
1743883453.7684875,198,109,909
1743883453.7686722,198,107,907
1743883453.768858,193,106,905
1743883453.7690494,197,109,907
1743883453.7692294,196,106,905
1743883453.769404,194,107,910
1743883453.769578,199,110,907
1743883453.7697525,197,108,914
1743883453.7699325,194,107,916
1743883453.7701068,199,110,916
1743883453.7702823,197,108,917
1743883453.7704575,194,109,914
1743883453.7706263,198,109,914
1743883453.7707908,196,108,910
1743883453.7709868,195,106,908
1743883453.771152,197,109,903
1743883453.7713177,196,106,903
1743883453.7714846,196,107,898
1743883453.7716496,197,108,901
1743883453.771815,195,108,896
1743883453.7719853,195,107,899
1743883453.7721505,196,109,902
1743883453.7723165,195,107,905
1743883453.7724824,195,109,902
1743883453.772649,197,107,904
1743883453.7728167,194,108,894
1743883453.7729893,195,110,898
1743883453.7731543,197,109,907
1743883453.773323,195,105,906
1743883453.7807848,197,108,909
1743883453.8201537,197,108,909
1743883453.859283,193,106,909
1743883453.8981826,199,109,913
1743883453.9369547,197,107,911
1743883453.9763203,192,107,910
1743883454.015491,198,107,912
1743883454.0541043,197,108,911
1743883454.0934064,194,107,907
1743883454.1325276,199,109,904
1743883454.171334,197,106,910
1743883454.2107322,195,106,904
1743883454.24976,198,107,905
1743883454.2892826,196,106,909
