timestamp,pressure_sensor_A0,pressure_sensor_A1,pressure_sensor_A2
1743883171.0594938,112,64,36
1743883171.0597186,114,65,34
1743883171.0599575,114,63,36
1743883171.0601964,110,63,34
1743883171.060432,110,63,35
1743883171.0606673,115,63,35
1743883171.0608928,116,61,37
1743883171.0611224,112,62,36
1743883171.0613394,267,68,37
1743883171.0615556,328,71,44
1743883171.0617707,392,73,50
1743883171.0619874,471,76,46
1743883171.0621881,613,84,44
1743883171.0624015,716,500,580
1743883171.062618,778,754,814
1743883171.0628326,856,771,908
1743883171.0630445,885,828,931
1743883171.0632446,906,866,933
1743883171.0634434,925,869,952
1743883171.0636435,925,873,958
1743883171.0638323,921,877,967
1743883171.0640235,927,890,963
1743883171.064211,935,875,956
1743883171.0643992,931,889,965
1743883171.0645864,926,891,966
1743883171.0647752,939,880,969
1743883171.0649698,941,884,973
1743883171.0651467,937,884,974
1743883171.0653217,945,898,973
1743883171.0654984,940,892,971
1743883171.0656743,942,886,968
1743883171.065853,936,889,965
1743883171.06603,935,888,963
1743883171.0661988,929,876,963
1743883171.0663655,937,880,968
1743883171.0665312,919,878,967
1743883171.0666971,925,875,965
1743883171.0668683,927,871,966
1743883171.0670376,924,881,969
1743883171.067204,920,879,968
1743883171.0673695,932,882,966
1743883171.0675359,935,885,970
1743883171.067708,934,887,970
1743883171.0678837,935,879,971
1743883171.0680616,906,882,969
1743883171.0682383,913,883,965
1743883171.068415,917,883,963
1743883171.06859,910,893,965
1743883171.0687675,907,879,951
1743883171.068949,918,879,957
1743883171.0691261,918,867,957
1743883171.0693042,909,886,962
1743883171.0931969,915,887,961
1743883171.1325088,925,889,961
1743883171.1717072,933,894,964
1743883171.2106853,920,888,964
1743883171.2496576,913,896,965
1743883171.2887888,917,897,963
1743883171.3282418,916,893,966
1743883171.3670795,922,895,966
1743883171.406049,924,897,965
1743883171.4453452,932,898,965
1743883171.48411,935,901,965
1743883171.5232818,939,896,964
1743883171.5621164,939,901,966
