timestamp,pressure_sensor_A0,pressure_sensor_A1,pressure_sensor_A2
1743883537.7992387,225,851,150
1743883537.7994268,224,847,149
1743883537.7996063,226,846,150
1743883537.7997847,226,849,151
1743883537.7999704,225,846,151
1743883537.8001447,225,856,149
1743883537.8003151,226,857,153
1743883537.8004832,223,838,149
1743883537.800658,229,860,153
1743883537.8008296,225,862,152
1743883537.801004,227,864,152
1743883537.8011768,227,860,151
1743883537.8013456,225,865,151
1743883537.8015168,227,868,151
1743883537.8016858,225,859,151
1743883537.801858,222,838,148
1743883537.8020303,226,841,150
1743883537.8022022,224,844,148
1743883537.8023727,222,838,148
1743883537.8025472,224,837,147
1743883537.8027215,225,840,150
1743883537.8029099,223,836,147
1743883537.803088,225,841,151
1743883537.8032699,224,844,149
1743883537.8034496,223,842,149
1743883537.8036325,225,845,149
1743883537.8038113,224,846,149
1743883537.8039978,224,847,149
1743883537.804177,224,859,150
1743883537.804359,225,850,151
1743883537.8045387,226,847,150
1743883537.8047209,226,849,149
1743883537.804963,224,849,148
1743883537.8051474,225,852,151
1743883537.8053286,223,848,150
1743883537.8055124,224,855,150
1743883537.805783,225,854,152
1743883537.8060632,225,856,151
1743883537.8063319,225,848,149
1743883537.8065863,223,829,148
1743883537.8067777,222,810,146
1743883537.8070104,222,815,147
1743883537.8072662,225,822,148
1743883537.8075912,224,837,149
1743883537.8079374,223,844,149
1743883537.8082767,225,812,147
1743883537.8085768,225,838,148
1743883537.8088667,225,851,149
1743883537.809172,225,868,152
1743883537.8094804,225,862,150
1743883537.8097963,223,860,151
1743883537.810083,226,856,151
1743883537.844437,226,856,152
1743883537.8835812,225,858,153
1743883537.9227862,224,826,149
1743883537.9619823,225,860,151
1743883538.0007527,224,842,150
1743883538.0406933,226,853,151
1743883538.078888,224,842,150
1743883538.118329,224,838,149
1743883538.1574934,226,856,152
1743883538.1963782,224,850,150
1743883538.2355442,225,842,148
1743883538.274556,225,841,150
1743883538.3132985,225,852,152
