timestamp,pressure_sensor_A0,pressure_sensor_A1,pressure_sensor_A2
1743883146.0895054,117,60,35
1743883146.0898764,117,57,34
1743883146.0902421,115,57,36
1743883146.090554,119,58,34
1743883146.0908687,120,55,37
1743883146.0911987,118,56,35
1743883146.0914867,112,57,33
1743883146.0917664,116,57,34
1743883146.092053,117,57,35
1743883146.0923162,118,55,36
1743883146.0925703,115,55,33
1743883146.092824,115,54,35
1743883146.0930848,119,57,36
1743883146.0933304,117,55,36
1743883146.0935655,116,56,35
1743883146.0937984,113,54,34
1743883146.0940359,128,56,34
1743883146.0942693,490,76,44
1743883146.0944855,546,78,43
1743883146.0947406,600,75,45
1743883146.095002,667,79,198
1743883146.0952327,815,573,707
1743883146.0954518,871,644,842
1743883146.0956662,907,761,861
1743883146.095879,906,797,883
1743883146.0961294,913,802,913
1743883146.0963416,928,794,932
1743883146.0965474,934,826,936
1743883146.0967462,932,808,944
1743883146.0969508,931,811,942
1743883146.0971503,920,803,937
1743883146.0973425,926,820,926
1743883146.0975277,936,828,919
1743883146.0977137,933,818,911
1743883146.0979037,932,826,906
1743883146.09809,933,820,902
1743883146.0982754,940,835,894
1743883146.0984597,942,840,861
1743883146.0986347,944,849,881
1743883146.098809,944,852,875
1743883146.0989878,946,854,844
1743883146.0991628,952,846,878
1743883146.099338,947,824,909
1743883146.0995128,948,842,913
1743883146.0996869,955,839,914
1743883146.0998616,951,824,917
1743883146.1000395,953,819,904
1743883146.100214,954,815,910
1743883146.100391,954,809,920
1743883146.1005673,950,810,917
1743883146.1007435,950,821,923
1743883146.1009367,956,835,932
1743883146.1067703,941,848,926
1743883146.145609,899,853,935
1743883146.1850002,921,823,930
1743883146.2236707,911,846,924
1743883146.262846,924,834,919
1743883146.302379,939,838,917
1743883146.341344,936,845,889
1743883146.3807454,932,840,897
1743883146.4197497,936,851,907
1743883146.4586036,935,852,902
1743883146.4979384,938,857,910
1743883146.5367424,940,849,912
1743883146.5758653,945,853,914
1743883146.6148336,940,853,916
