timestamp,pressure_sensor_A0,pressure_sensor_A1,pressure_sensor_A2
1743883558.8703334,214,771,140
1743883558.8705823,215,784,142
1743883558.8708112,215,788,142
1743883558.8710687,215,790,142
1743883558.8712807,214,779,140
1743883558.8714972,215,781,140
1743883558.8717115,213,775,140
1743883558.8719237,215,764,141
1743883558.8721244,214,764,140
1743883558.8723257,213,765,139
1743883558.8725233,214,767,140
1743883558.8727276,213,767,140
1743883558.8729155,211,750,138
1743883558.873107,214,760,139
1743883558.8732913,214,779,140
1743883558.8734808,212,771,139
1743883558.8736656,216,769,140
1743883558.873855,215,768,141
1743883558.8740332,212,772,139
1743883558.8742146,216,784,142
1743883558.8743885,215,781,141
1743883558.8745675,213,775,140
1743883558.8747394,215,771,139
1743883558.874911,214,782,139
1743883558.8750758,213,780,139
1743883558.875246,217,771,141
1743883558.8754098,213,776,139
1743883558.875579,214,774,140
1743883558.8757436,214,763,139
1743883558.8759189,214,755,140
1743883558.8760836,214,776,141
1743883558.8762546,213,762,139
1743883558.876419,215,780,141
1743883558.8765917,214,766,140
1743883558.8767562,213,748,139
1743883558.8769298,209,700,135
1743883558.877105,212,734,137
1743883558.877283,209,711,133
1743883558.8774574,209,725,136
1743883558.8776388,214,743,138
1743883558.877812,213,737,136
1743883558.8779955,211,749,137
1743883558.878169,214,725,137
1743883558.878349,214,765,141
1743883558.8785238,210,757,138
1743883558.8787036,213,733,137
1743883558.878878,211,727,136
1743883558.8790615,211,746,137
1743883558.879237,215,734,136
1743883558.8794155,212,734,137
1743883558.8795898,210,738,136
1743883558.87977,213,750,137
1743883558.9025733,214,761,140
1743883558.9415069,212,776,139
1743883558.9807644,215,774,140
1743883559.0197904,215,782,139
1743883559.059158,212,751,139
1743883559.0983117,214,764,140
1743883559.1369457,214,765,142
1743883559.176425,216,770,141
1743883559.215338,217,787,143
1743883559.2542694,212,776,140
1743883559.2933552,215,779,141
1743883559.3324385,215,785,142
1743883559.3714716,215,785,141
