timestamp,pressure_sensor_A0,pressure_sensor_A1,pressure_sensor_A2
1743883160.8817463,115,59,40
1743883160.8820825,114,57,37
1743883160.8823743,110,59,37
1743883160.882654,108,57,38
1743883160.8829262,113,57,40
1743883160.8831885,114,60,38
1743883160.8834512,112,57,38
1743883160.8837068,109,56,38
1743883160.8839502,265,67,42
1743883160.8841898,409,71,44
1743883160.8844273,476,75,46
1743883160.8846562,558,82,457
1743883160.8848894,657,610,634
1743883160.8851287,773,701,771
1743883160.8853602,822,788,859
1743883160.8855908,837,783,908
1743883160.8858066,853,783,946
1743883160.8860264,877,821,955
1743883160.8862414,891,829,957
1743883160.886458,897,809,963
1743883160.8866773,909,847,970
1743883160.8868783,914,865,966
1743883160.8870866,925,880,968
1743883160.8872888,918,880,969
1743883160.8874912,916,863,961
1743883160.887695,921,874,961
1743883160.887889,924,869,963
1743883160.8880847,931,880,961
1743883160.8882735,935,888,963
1743883160.8884628,950,887,964
1743883160.8886538,946,891,966
1743883160.8888416,942,887,966
1743883160.889024,946,889,965
1743883160.8892014,949,890,965
1743883160.8893788,945,894,961
1743883160.8895574,946,886,966
1743883160.8897355,947,886,965
1743883160.8899179,951,884,967
1743883160.890096,956,899,967
1743883160.890274,957,900,963
1743883160.8904514,959,901,967
1743883160.89063,959,904,965
1743883160.8908072,955,907,966
1743883160.8909888,958,904,966
1743883160.891166,956,905,969
1743883160.8913426,958,906,971
1743883160.8915257,960,899,971
1743883160.891703,956,888,969
1743883160.8918817,957,898,975
1743883160.8920639,956,901,973
1743883160.8922427,958,904,974
1743883160.892422,956,905,977
1743883160.9164057,949,899,971
1743883160.9555,949,899,974
1743883160.994608,947,902,975
1743883161.033626,948,900,971
1743883161.0725493,950,902,972
1743883161.1118722,955,894,974
1743883161.1510286,948,890,973
1743883161.1901383,947,898,974
1743883161.2293806,949,894,973
1743883161.268238,948,892,976
1743883161.3068705,944,892,974
1743883161.345958,948,899,976
1743883161.385688,948,900,976
