timestamp,pressure_sensor_A0,pressure_sensor_A1,pressure_sensor_A2
1743883234.2263806,100,65,36
1743883234.226663,100,65,37
1743883234.226863,99,64,35
1743883234.2270775,99,63,36
1743883234.227272,95,63,36
1743883234.2274652,97,62,37
1743883234.227647,98,64,36
1743883234.2278295,97,64,35
1743883234.2280147,98,63,36
1743883234.2281947,97,62,36
1743883234.2283642,96,62,36
1743883234.228536,96,62,36
1743883234.228711,304,71,37
1743883234.228892,505,365,70
1743883234.229083,618,622,117
1743883234.2292693,707,635,568
1743883234.2294545,867,653,805
1743883234.2296402,884,744,869
1743883234.2298262,904,812,889
1743883234.2300143,917,775,925
1743883234.230199,940,819,949
1743883234.2303739,945,785,948
1743883234.2305474,940,837,957
1743883234.2307217,917,830,959
1743883234.2308996,914,822,961
1743883234.2310767,919,858,955
1743883234.2312517,915,816,961
1743883234.2314267,919,818,962
1743883234.2316005,928,834,963
1743883234.2317758,928,822,964
1743883234.2319524,931,818,967
1743883234.2321267,899,838,969
1743883234.2323,921,862,967
1743883234.2324748,907,857,965
1743883234.2326486,923,855,969
1743883234.2328231,920,861,972
1743883234.2330015,939,850,972
1743883234.2331762,931,867,972
1743883234.2333498,932,867,970
1743883234.2335181,936,867,968
1743883234.2336817,938,872,969
1743883234.2338457,921,873,969
1743883234.2340157,922,880,968
1743883234.2341795,928,883,972
1743883234.2343438,938,885,970
1743883234.2345078,935,865,961
1743883234.2346752,936,881,960
1743883234.23484,909,854,953
1743883234.235007,915,879,945
1743883234.2351732,921,881,944
1743883234.2353473,897,866,964
1743883234.2355216,916,855,964
1743883234.2356966,911,867,964
1743883234.2632878,928,878,959
1743883234.3024428,928,870,966
1743883234.3418064,929,854,963
1743883234.3809528,927,868,967
1743883234.4200435,935,874,971
1743883234.4590816,931,873,966
1743883234.4981272,928,877,968
1743883234.5374155,934,879,970
1743883234.576124,937,883,970
1743883234.6150725,941,864,970
1743883234.6540797,940,865,970
1743883234.6935668,943,869,970
1743883234.732498,943,870,967
