timestamp,pressure_sensor_A0,pressure_sensor_A1,pressure_sensor_A2
1743883218.6299736,100,62,36
1743883218.630165,104,63,37
1743883218.630352,108,65,36
1743883218.6305368,105,63,36
1743883218.630724,103,63,36
1743883218.630915,100,61,36
1743883218.6310985,106,64,37
1743883218.6312845,106,64,36
1743883218.6314697,103,62,36
1743883218.6316774,98,61,37
1743883218.631867,102,62,36
1743883218.6320739,107,65,37
1743883218.6322744,345,77,40
1743883218.632475,399,79,44
1743883218.6326892,504,496,313
1743883218.632916,644,610,791
1743883218.633131,821,761,883
1743883218.633343,866,774,931
1743883218.6335547,911,848,946
1743883218.6337662,925,831,960
1743883218.6339831,924,863,970
1743883218.6341956,937,873,972
1743883218.6344073,930,856,974
1743883218.6346195,933,846,972
1743883218.6348333,940,865,975
1743883218.6350513,941,870,974
1743883218.6352632,937,874,976
1743883218.635475,937,857,971
1743883218.6356874,942,857,970
1743883218.6359048,943,869,973
1743883218.6361191,949,873,974
1743883218.6363328,952,869,973
1743883218.6365464,950,869,974
1743883218.6367626,953,861,976
1743883218.6369832,949,871,975
1743883218.637197,943,874,975
1743883218.6374097,935,874,976
1743883218.6376214,938,869,976
1743883218.6378374,937,873,975
1743883218.6380875,940,858,971
1743883218.638316,941,858,973
1743883218.6385474,942,868,974
1743883218.6387768,944,869,974
1743883218.6390111,946,877,976
1743883218.6392415,945,874,977
1743883218.639471,947,865,976
1743883218.6397002,944,866,975
1743883218.6399422,945,857,974
1743883218.6401718,945,874,976
1743883218.640401,950,883,978
1743883218.640633,949,874,978
1743883218.6408715,951,875,978
1743883218.6643972,950,871,979
1743883218.70351,948,874,979
1743883218.742871,948,873,979
1743883218.781496,954,879,979
1743883218.82078,955,883,980
1743883218.8602893,954,879,980
1743883218.899338,952,863,980
1743883218.9381547,952,875,980
1743883218.9772093,953,874,979
1743883219.016472,954,879,979
1743883219.055279,951,875,979
1743883219.0945914,951,873,979
1743883219.133485,956,874,980
