timestamp,pressure_sensor_A0,pressure_sensor_A1,pressure_sensor_A2
1743883419.475095,206,111,893
1743883419.4754064,204,112,893
1743883419.4757102,204,109,901
1743883419.4759998,206,111,907
1743883419.4762728,206,112,905
1743883419.4765446,205,110,909
1743883419.4768167,207,110,909
1743883419.4770837,206,111,907
1743883419.4773297,205,113,911
1743883419.4775798,207,111,915
1743883419.4778178,207,112,919
1743883419.4780536,204,113,912
1743883419.4782846,206,114,913
1743883419.4785151,207,109,912
1743883419.4787455,206,112,918
1743883419.4789684,208,111,916
1743883419.4791832,323,124,908
1743883419.4793959,331,122,908
1743883419.479608,343,120,908
1743883419.4798226,411,127,903
1743883419.4800243,433,126,907
1743883419.4802253,361,116,910
1743883419.4804232,426,126,915
1743883419.4806213,458,126,914
1743883419.480818,421,121,916
1743883419.481013,430,124,917
1743883419.4811978,435,122,918
1743883419.4813998,457,124,916
1743883419.481586,236,107,915
1743883419.4817722,231,108,916
1743883419.4819684,219,111,916
1743883419.4821444,214,108,917
1743883419.4823186,311,119,916
1743883419.4824939,213,109,913
1743883419.4826689,210,112,918
1743883419.4828436,211,111,918
1743883419.4830234,209,112,918
1743883419.4831982,207,110,919
1743883419.4833722,209,113,917
1743883419.4835463,208,112,915
1743883419.4837208,205,111,913
1743883419.4839003,207,112,916
1743883419.4840746,204,110,916
1743883419.4842496,207,111,918
1743883419.4844244,208,110,921
1743883419.4845989,207,110,925
1743883419.484773,204,111,924
1743883419.4849534,207,113,928
1743883419.4851282,206,112,929
1743883419.4853036,205,111,929
1743883419.4854784,207,111,930
1743883419.5048213,204,111,929
1743883419.543939,204,111,928
1743883419.5830595,205,110,930
1743883419.6219246,203,109,925
1743883419.6612167,205,111,929
1743883419.699989,202,110,928
1743883419.7392654,202,110,927
1743883419.778262,205,112,928
1743883419.817427,204,109,929
1743883419.856598,203,110,932
1743883419.8957047,204,112,927
1743883419.9350364,204,112,928
1743883419.9741123,202,111,928
1743883420.013207,203,112,930
