timestamp,pressure_sensor_A0,pressure_sensor_A1,pressure_sensor_A2
1743883460.06471,196,108,922
1743883460.0648868,195,107,921
1743883460.0650766,194,106,922
1743883460.0652473,197,108,917
1743883460.065416,195,109,918
1743883460.0655842,194,105,922
1743883460.0657516,198,107,922
1743883460.065926,196,108,923
1743883460.0660946,193,106,924
1743883460.0662649,198,110,921
1743883460.0664325,196,108,914
1743883460.0666,194,105,913
1743883460.0667663,199,109,919
1743883460.0669386,195,107,918
1743883460.067105,193,107,921
1743883460.0672736,197,110,917
1743883460.0674434,196,108,919
1743883460.067611,195,106,916
1743883460.067779,197,107,915
1743883460.067952,194,108,910
1743883460.0681198,196,108,914
1743883460.0682878,196,108,912
1743883460.068456,195,108,912
1743883460.0686235,195,106,911
1743883460.0687907,196,109,917
1743883460.0689676,195,108,902
1743883460.069135,195,107,897
1743883460.0693066,197,108,904
1743883460.0694833,193,108,906
1743883460.0696607,197,107,909
1743883460.069839,196,109,915
1743883460.0700223,194,106,912
1743883460.0702846,197,108,903
1743883460.0704646,194,109,894
1743883460.0706406,194,106,910
1743883460.070818,198,109,909
1743883460.0710013,196,108,913
1743883460.0711799,193,107,915
1743883460.0713565,198,110,915
1743883460.0715322,197,106,909
1743883460.0717092,194,107,910
1743883460.0718868,197,111,915
1743883460.0720704,195,107,918
1743883460.0722482,193,108,918
1743883460.0724254,198,108,915
1743883460.072604,196,106,921
1743883460.0727794,193,108,918
1743883460.0729618,197,107,916
1743883460.0731397,196,108,914
1743883460.0733202,194,108,915
1743883460.0734975,197,107,915
1743883460.0736876,195,106,911
1743883460.1098151,196,107,912
1743883460.1489682,197,108,914
1743883460.1880062,194,107,912
1743883460.227028,197,107,910
1743883460.2662811,196,108,915
1743883460.3056588,193,108,908
1743883460.3445241,196,107,888
1743883460.3836296,194,107,901
1743883460.4226487,193,106,903
1743883460.4615,197,108,904
1743883460.5003407,196,108,903
1743883460.5399914,192,105,903
1743883460.578711,198,108,907
