timestamp,pressure_sensor_A0,pressure_sensor_A1,pressure_sensor_A2
1743883466.5998359,202,110,906
1743883466.600143,201,112,897
1743883466.600394,203,112,902
1743883466.6006413,203,109,910
1743883466.6008883,203,113,916
1743883466.6011431,202,108,898
1743883466.60138,199,109,898
1743883466.6016116,203,113,903
1743883466.6018422,202,112,909
1743883466.6020696,199,110,909
1743883466.6022804,203,112,916
1743883466.6024933,201,112,911
1743883466.602707,199,111,909
1743883466.6029236,202,113,905
1743883466.603131,200,112,906
1743883466.603329,200,108,912
1743883466.6035266,206,114,913
1743883466.6037235,202,110,916
1743883466.6039245,200,109,896
1743883466.604121,204,113,896
1743883466.6043072,201,112,898
1743883466.604492,200,108,907
1743883466.6046774,202,113,908
1743883466.6048632,200,112,907
1743883466.605052,200,112,910
1743883466.6052394,204,112,908
1743883466.6054199,201,112,915
1743883466.6055958,201,112,916
1743883466.6057706,203,111,911
1743883466.6059527,202,111,911
1743883466.6061287,201,112,909
1743883466.6063018,204,112,906
1743883466.6064758,201,112,887
1743883466.6066487,203,113,880
1743883466.6068237,203,112,900
1743883466.6070142,199,112,900
1743883466.6071885,203,114,908
1743883466.6073627,202,113,896
1743883466.6075404,199,111,908
1743883466.6077144,205,113,913
1743883466.6078887,203,113,913
1743883466.6080668,201,111,913
1743883466.608242,206,114,914
1743883466.6084173,204,113,915
1743883466.6085913,200,111,911
1743883466.608768,207,113,911
1743883466.6089454,202,113,911
1743883466.6091268,201,113,914
1743883466.6093137,206,115,918
1743883466.6095057,202,112,917
1743883466.6096914,201,111,919
1743883466.609881,204,113,920
1743883466.6337068,200,112,907
1743883466.6728578,201,111,899
1743883466.7119632,203,113,907
1743883466.7508647,202,112,910
1743883466.7901914,201,111,915
1743883466.8292284,203,112,898
1743883466.868161,202,111,907
1743883466.9075553,202,113,912
1743883466.946697,203,111,909
1743883466.9857345,201,111,915
1743883467.0244887,203,113,916
1743883467.0637908,202,112,917
1743883467.1027212,200,109,920
