timestamp,pressure_sensor_A0,pressure_sensor_A1,pressure_sensor_A2
1743883577.0013652,223,855,150
1743883577.0015452,221,830,146
1743883577.001714,220,818,145
1743883577.0018814,221,835,146
1743883577.0020626,224,838,149
1743883577.002231,222,836,147
1743883577.0023959,223,845,148
1743883577.0025616,224,851,149
1743883577.0027273,220,845,148
1743883577.0029027,223,840,147
1743883577.0030694,222,843,148
1743883577.0032344,222,844,148
1743883577.0033996,223,847,148
1743883577.0035665,222,845,147
1743883577.0037308,221,840,147
1743883577.0039067,224,844,148
1743883577.0040817,223,844,149
1743883577.0042584,220,839,146
1743883577.0044339,222,836,146
1743883577.0046086,222,838,147
1743883577.004784,220,837,146
1743883577.0049777,223,850,149
1743883577.0052018,223,848,149
1743883577.0053785,222,853,149
1743883577.0055532,222,854,147
1743883577.0057302,223,843,149
1743883577.0059166,221,840,146
1743883577.0060925,223,846,148
1743883577.0062673,220,837,146
1743883577.0064454,220,825,146
1743883577.00662,222,830,148
1743883577.006797,221,843,147
1743883577.0069766,224,852,149
1743883577.0071537,224,867,149
1743883577.0073273,223,864,150
1743883577.0075023,223,859,151
1743883577.0076764,223,850,148
1743883577.0078533,221,830,147
1743883577.0080316,223,839,146
1743883577.0082078,224,859,148
1743883577.0083826,221,842,146
1743883577.0085955,222,833,147
1743883577.0087702,223,827,148
1743883577.008973,220,826,146
1743883577.009148,223,829,148
1743883577.009324,221,827,145
1743883577.0094984,221,820,144
1743883577.009675,221,823,145
1743883577.00985,220,837,144
1743883577.010048,222,841,147
1743883577.0102355,224,866,150
1743883577.0302086,226,866,151
1743883577.0693662,223,853,149
1743883577.1084313,222,821,146
1743883577.147557,222,831,147
1743883577.1863863,220,824,145
1743883577.2254374,221,810,145
1743883577.264575,221,816,146
1743883577.3037024,220,798,145
1743883577.3427663,218,792,143
1743883577.3818357,219,782,142
1743883577.4208684,218,796,142
1743883577.4600325,219,796,143
1743883577.4990942,218,805,142
1743883577.5380764,219,800,143
