timestamp,pressure_sensor_A0,pressure_sensor_A1,pressure_sensor_A2
1743883296.7738194,910,88,58
1743883296.774157,913,87,58
1743883296.7744422,914,87,59
1743883296.7747028,912,87,59
1743883296.7749703,909,87,58
1743883296.775229,908,86,59
1743883296.7754855,914,88,58
1743883296.7757268,917,88,58
1743883296.7759678,918,87,59
1743883296.776204,913,88,58
1743883296.776441,911,86,59
1743883296.7766623,908,88,58
1743883296.7768788,912,87,59
1743883296.7771027,912,89,59
1743883296.7773187,909,88,58
1743883296.7775323,895,86,58
1743883296.777732,896,87,58
1743883296.7779365,893,87,58
1743883296.7783046,897,86,58
1743883296.7785165,905,86,58
1743883296.7787051,909,88,59
1743883296.7788925,905,88,57
1743883296.7790947,910,86,58
1743883296.779285,902,87,58
1743883296.7794657,907,86,58
1743883296.7796462,901,87,58
1743883296.7798262,884,87,58
1743883296.780011,896,87,59
1743883296.7801874,898,86,58
1743883296.7803621,897,88,58
1743883296.7805386,912,89,59
1743883296.7807703,909,88,58
1743883296.7809532,903,87,59
1743883296.7811286,905,87,58
1743883296.7813048,904,87,59
1743883296.78148,914,88,58
1743883296.781656,918,88,58
1743883296.7818592,908,86,58
1743883296.7820435,902,88,59
1743883296.7822394,908,87,59
1743883296.782416,907,89,58
1743883296.782592,912,87,59
1743883296.7827687,908,87,58
1743883296.7829523,906,89,59
1743883296.7831542,903,87,59
1743883296.78333,912,88,58
1743883296.783509,912,88,58
1743883296.783685,911,87,59
1743883296.7838743,912,88,59
1743883296.7840567,911,88,59
1743883296.7842336,914,87,58
1743883296.7844446,915,88,59
1743883296.7846224,911,88,59
1743883296.7848012,899,87,59
1743883296.7993903,900,87,59
1743883296.836168,905,88,59
1743883296.8733747,900,87,59
1743883296.910715,922,88,60
1743883296.9478517,903,88,59
1743883296.9848363,895,86,58
1743883297.022109,899,87,58
1743883297.059056,914,89,59
1743883297.0958083,910,87,59
1743883297.1331735,911,89,59
1743883297.1702213,913,88,59
1743883297.2073774,909,88,53
1743883297.2445812,909,88,58
1743883297.281724,904,87,59
