timestamp,pressure_sensor_A0,pressure_sensor_A1,pressure_sensor_A2
1743883243.6411924,920,860,948
1743883243.6413867,926,865,955
1743883243.6415768,931,867,956
1743883243.641766,933,873,954
1743883243.641962,931,856,959
1743883243.64216,940,866,959
1743883243.642352,940,866,956
1743883243.6425421,944,867,950
1743883243.6427317,942,875,956
1743883243.6429524,947,883,959
1743883243.6431432,941,883,960
1743883243.6433349,942,888,960
1743883243.6435242,940,866,963
1743883243.643713,937,874,965
1743883243.6439137,940,877,961
1743883243.64411,934,868,962
1743883243.6443005,940,870,962
1743883243.6444921,939,863,962
1743883243.6446803,941,863,962
1743883243.6448712,935,843,963
1743883243.6450808,943,840,964
1743883243.6452727,936,849,961
1743883243.6454625,936,856,963
1743883243.6456523,947,831,963
1743883243.6458423,931,845,969
1743883243.6460445,940,839,967
1743883243.6462352,947,863,971
1743883243.6464245,941,867,971
1743883243.646615,942,866,972
1743883243.6468062,926,872,972
1743883243.6470058,939,863,973
1743883243.647196,924,862,973
1743883243.6473856,933,858,974
1743883243.6475806,923,838,967
1743883243.6477718,928,852,966
1743883243.6479795,922,858,966
1743883243.6481755,917,863,971
1743883243.6483672,925,844,968
1743883243.648565,927,867,966
1743883243.6487687,934,868,965
1743883243.6489928,928,870,965
1743883243.649197,928,871,966
1743883243.649399,926,868,967
1743883243.6496122,914,859,962
1743883243.6498291,919,865,962
1743883243.6500611,936,880,953
1743883243.6502774,941,882,965
1743883243.6505134,929,879,964
1743883243.6507485,931,879,966
1743883243.6509967,919,874,967
1743883243.651231,912,883,968
1743883243.656696,930,887,965
1743883243.696198,938,883,966
1743883243.7354512,948,890,964
1743883243.774011,944,890,960
1743883243.8130171,941,882,959
1743883243.852532,946,889,966
1743883243.8916533,944,889,969
1743883243.930246,944,894,970
1743883243.9700315,940,876,973
1743883244.0087657,951,880,973
1743883244.0480847,949,874,973
1743883244.0866475,952,883,970
1743883244.125843,944,884,971
1743883244.1650114,932,871,971
