timestamp,pressure_sensor_A0,pressure_sensor_A1,pressure_sensor_A2
1743883611.6572483,189,167,888
1743883611.657433,190,167,888
1743883611.6576185,191,166,892
1743883611.657797,190,167,884
1743883611.65798,191,167,882
1743883611.6581593,189,166,881
1743883611.6583364,192,167,884
1743883611.658514,190,168,886
1743883611.658692,190,167,876
1743883611.65887,190,167,874
1743883611.659051,189,167,864
1743883611.6592262,189,165,882
1743883611.6594036,189,166,884
1743883611.65958,190,165,891
1743883611.6597562,190,163,889
1743883611.6599367,191,168,893
1743883611.6601167,202,263,905
1743883611.660293,228,563,916
1743883611.6604695,220,547,904
1743883611.660647,225,599,905
1743883611.6608245,223,589,902
1743883611.6610072,225,603,903
1743883611.6611838,227,637,906
1743883611.6613615,225,610,913
1743883611.6615372,215,514,908
1743883611.6617143,206,456,902
1743883611.6618912,217,537,904
1743883611.6620724,210,437,891
1743883611.6622484,209,421,889
1743883611.6624258,209,437,888
1743883611.6626024,211,443,889
1743883611.6627798,207,413,878
1743883611.6629617,214,521,873
1743883611.6631393,222,612,884
1743883611.6633167,225,647,865
1743883611.6634943,218,601,836
1743883611.6636713,221,636,843
1743883611.6638486,218,611,847
1743883611.6640296,216,596,826
1743883611.6642072,227,722,847
1743883611.664385,222,690,803
1743883611.6645648,218,665,772
1743883611.6647425,224,687,817
1743883611.6649528,221,686,824
1743883611.6652195,224,727,799
1743883611.6653972,220,678,806
1743883611.6655743,227,712,845
1743883611.6657522,231,731,844
1743883611.6659405,231,688,862
1743883611.6661227,233,737,887
1743883611.666302,231,714,857
1743883611.6860673,231,721,859
1743883611.725007,229,705,899
1743883611.7641392,231,707,876
1743883611.803277,226,665,882
1743883611.842216,226,668,879
1743883611.8815043,229,657,871
1743883611.9205291,226,683,843
1743883611.9595287,220,598,839
1743883611.9988153,227,654,881
1743883612.0381973,229,686,891
1743883612.0773988,224,644,895
1743883612.1168098,228,669,891
1743883612.1556823,227,671,874
1743883612.1947026,232,683,904
