timestamp,pressure_sensor_A0,pressure_sensor_A1,pressure_sensor_A2
1743883631.1728246,239,838,866
1743883631.1739352,238,792,876
1743883631.1747966,242,834,885
1743883631.175569,243,849,885
1743883631.1762865,243,866,902
1743883631.1769688,244,867,897
1743883631.1775875,242,867,892
1743883631.178409,243,868,905
1743883631.1786928,244,861,902
1743883631.1789932,241,864,877
1743883631.1792538,244,864,878
1743883631.1794999,244,876,883
1743883631.179748,242,864,891
1743883631.1800034,243,877,879
1743883631.1802404,243,881,872
1743883631.180467,243,865,909
1743883631.1806955,244,867,912
1743883631.1809328,244,871,902
1743883631.1811435,244,869,910
1743883631.1813557,246,873,916
1743883631.1815674,246,869,917
1743883631.1817782,242,867,886
1743883631.1819983,242,864,882
1743883631.182203,242,860,893
1743883631.1824007,243,868,908
1743883631.1825979,245,876,903
1743883631.182796,240,861,873
1743883631.1830008,242,853,905
1743883631.1831934,243,863,907
1743883631.183378,242,867,903
1743883631.1835635,240,861,875
1743883631.1837494,244,869,893
1743883631.1839402,239,866,865
1743883631.184126,240,864,887
1743883631.1843104,240,867,861
1743883631.1844945,242,869,870
1743883631.184771,241,856,880
1743883631.1850798,239,835,855
1743883631.1852753,240,853,853
1743883631.1854622,242,853,892
1743883631.1856503,241,848,879
1743883631.1858373,242,864,877
1743883631.1860309,244,869,877
1743883631.1862295,240,856,861
1743883631.1864266,240,861,899
1743883631.1866248,244,866,888
1743883631.1868231,244,867,897
1743883631.1870286,242,854,898
1743883631.1872275,240,829,862
1743883631.187427,240,841,864
1743883631.187626,239,840,880
1743883631.187827,241,831,883
1743883631.2160916,241,847,879
1743883631.2550983,241,823,904
1743883631.2946656,242,835,900
1743883631.333636,243,843,906
1743883631.3727067,240,847,889
1743883631.4115646,245,866,912
1743883631.450675,242,855,907
1743883631.4898725,244,864,914
1743883631.5289385,244,875,902
1743883631.5680726,243,877,879
1743883631.6072373,244,875,901
1743883631.6456406,243,876,883
1743883631.6852121,243,878,889
