timestamp,pressure_sensor_A0,pressure_sensor_A1,pressure_sensor_A2
1743883621.9858778,262,819,875
1743883621.9860632,265,817,892
1743883621.9862354,261,791,870
1743883621.9864004,260,791,876
1743883621.9865649,255,712,876
1743883621.9867308,253,705,870
1743883621.9869025,255,717,885
1743883621.9870675,260,762,888
1743883621.9872339,257,748,871
1743883621.9873996,255,750,873
1743883621.9875636,261,783,885
1743883621.987729,258,771,878
1743883621.9878936,254,726,867
1743883621.9880705,257,746,892
1743883621.9882457,258,774,902
1743883621.988422,256,737,898
1743883621.9885952,253,717,863
1743883621.9887717,255,734,886
1743883621.9889503,256,763,885
1743883621.989127,258,799,867
1743883621.9893029,255,764,880
1743883621.9894786,256,760,876
1743883621.9896536,257,745,876
1743883621.9898307,258,779,887
1743883621.9900095,257,787,884
1743883621.9901865,259,785,900
1743883621.990365,257,791,890
1743883621.9905412,258,789,907
1743883621.9907157,256,731,896
1743883621.990893,254,738,905
1743883621.9910698,257,745,914
1743883621.9912474,257,765,913
1743883621.9914231,251,704,888
1743883621.9915996,255,736,898
1743883621.9917734,255,732,903
1743883621.9919553,252,718,900
1743883621.9921343,251,710,876
1743883621.9923115,251,707,886
1743883621.9924915,248,693,884
1743883621.9926744,253,746,870
1743883621.9928555,254,743,893
1743883621.9930394,251,743,899
1743883621.993223,252,720,898
1743883621.9934008,249,701,901
1743883621.9935763,251,735,898
1743883621.993751,256,762,922
1743883621.993934,253,756,915
1743883621.9941158,255,766,918
1743883621.9942994,252,739,870
1743883621.9944897,252,755,888
1743883621.994678,253,749,888
1743883621.9963298,254,765,894
1743883622.0355568,253,760,889
1743883622.074742,253,727,906
1743883622.1134603,257,791,900
1743883622.152699,254,754,907
1743883622.1920807,252,751,892
1743883622.2307022,254,746,908
1743883622.270264,253,760,900
1743883622.3090947,253,742,901
1743883622.3485088,251,738,880
1743883622.387667,251,734,894
1743883622.4265802,253,729,887
1743883622.4655516,247,689,883
1743883622.5046186,246,709,887
