timestamp,pressure_sensor_A0,pressure_sensor_A1,pressure_sensor_A2
1743883300.8156815,928,88,60
1743883300.8161216,928,89,59
1743883300.8165307,924,88,59
1743883300.816946,918,89,59
1743883300.8173366,922,93,60
1743883300.8176882,926,88,59
1743883300.8180475,927,89,59
1743883300.818391,926,90,60
1743883300.8187053,925,89,59
1743883300.819025,927,88,60
1743883300.819338,928,89,60
1743883300.8196263,928,89,60
1743883300.8199172,930,88,59
1743883300.8202016,928,88,59
1743883300.820463,919,88,60
1743883300.8207192,914,88,60
1743883300.820985,917,88,60
1743883300.821243,914,86,59
1743883300.821501,916,88,60
1743883300.8217375,916,88,60
1743883300.821982,918,89,59
1743883300.8222153,913,87,60
1743883300.8224504,914,87,59
1743883300.8226743,906,88,59
1743883300.8228884,909,89,60
1743883300.8231103,909,88,60
1743883300.823326,908,91,60
1743883300.8235373,910,87,60
1743883300.8237386,912,90,59
1743883300.8239455,916,88,60
1743883300.8241467,917,88,60
1743883300.8243525,914,87,60
1743883300.8245397,915,89,60
1743883300.8247292,915,88,60
1743883300.8249226,919,89,61
1743883300.8251154,919,88,60
1743883300.8253036,913,88,60
1743883300.8254817,922,89,61
1743883300.82566,922,89,60
1743883300.8258386,920,88,60
1743883300.8260329,912,86,60
1743883300.8262095,913,88,60
1743883300.8263917,916,88,60
1743883300.8265688,925,89,60
1743883300.8267467,927,87,59
1743883300.8269222,917,87,59
1743883300.8270924,906,89,60
1743883300.8272607,910,88,60
1743883300.8274388,909,87,60
1743883300.8276079,918,88,60
1743883300.8277824,916,89,61
1743883300.8279684,916,89,60
1743883300.8281476,910,86,60
1743883300.828316,915,87,60
1743883300.8396852,915,88,59
1743883300.8767104,912,89,61
1743883300.9142797,897,85,60
1743883300.9511683,903,86,60
1743883300.98839,903,88,60
1743883301.0254357,912,89,60
1743883301.0624018,920,88,60
1743883301.0994368,920,89,59
1743883301.1363292,913,87,58
1743883301.1731133,912,88,59
1743883301.2112877,917,87,59
1743883301.2477427,919,87,60
1743883301.2848053,926,88,60
1743883301.3217547,925,88,60
