timestamp,emg,front_left_sensor_1,front_left_sensor_2,front_right_sensor_1,front_right_sensor_2,back_left_sensor,back_right_sensor
1745906920.6428401,113,0,0,0,0,316,234
1745906920.643195,121,0,0,0,0,318,234
1745906920.643501,116,0,0,0,0,318,232
1745906920.6438038,110,0,0,0,0,320,234
1745906920.644125,115,0,0,0,0,319,234
1745906920.644449,100,0,0,0,0,317,230
1745906920.6447968,110,0,0,0,0,316,229
1745906920.645131,81,0,0,0,0,313,234
1745906920.6454709,122,0,0,0,0,315,238
1745906920.645801,108,0,0,0,0,316,234
1745906920.646116,85,0,0,0,0,315,239
1745906920.646416,107,0,0,0,0,315,241
1745906920.646709,90,0,0,0,0,312,242
1745906920.647018,107,0,0,0,0,310,243
1745906920.6473012,93,0,0,0,0,309,240
1745906920.647604,91,0,0,0,0,308,244
1745906920.647924,134,0,0,0,0,306,244
1745906920.648279,113,0,0,0,0,305,244
1745906920.648434,117,0,0,0,0,304,245
1745906920.679159,99,0,0,0,0,304,246
1745906920.731575,115,0,0,0,0,314,244
1745906920.783251,121,0,0,0,0,318,235
1745906920.835166,111,0,0,0,0,321,241
1745906920.886613,183,0,0,0,0,325,230
1745906920.938109,151,0,0,0,0,323,233
1745906920.9894688,114,0,0,0,0,326,231
1745906921.041205,127,0,0,0,0,324,234
1745906921.092628,132,0,0,0,0,322,240
1745906921.144372,135,0,0,0,0,316,239
