timestamp,emg,front_left_sensor_1,front_left_sensor_2,front_right_sensor_1,front_right_sensor_2,back_left_sensor,back_right_sensor
1745906893.435657,168,0,0,0,0,292,248
1745906893.435725,141,0,0,0,0,293,249
1745906893.435791,164,0,0,0,0,294,250
1745906893.4358559,148,0,0,0,0,303,249
1745906893.435921,134,0,0,0,0,305,248
1745906893.4359858,127,0,0,0,0,313,251
1745906893.43605,114,0,0,0,0,320,252
1745906893.436115,125,0,0,0,0,324,252
1745906893.4361799,113,0,0,0,0,330,256
1745906893.436276,107,0,0,0,0,329,258
1745906893.4363441,128,0,0,0,0,329,258
1745906893.4364102,105,0,0,0,0,335,258
1745906893.4364748,136,0,0,0,0,340,257
1745906893.4365408,122,0,0,0,0,341,260
1745906893.436606,142,0,0,0,0,335,256
1745906893.436671,133,0,0,0,0,333,253
1745906893.436736,117,0,0,0,0,330,254
1745906893.436801,111,0,0,0,0,329,254
1745906893.436866,107,0,0,0,0,329,252
1745906893.477638,127,0,0,0,0,330,246
1745906893.529237,137,0,0,0,0,332,248
1745906893.580568,122,0,0,0,0,333,249
1745906893.632066,119,0,0,0,0,335,246
1745906893.683615,137,0,0,0,0,335,248
1745906893.735104,145,0,0,0,0,334,250
1745906893.7868228,134,0,0,0,0,333,250
1745906893.83855,148,0,0,0,0,334,251
1745906893.889919,111,0,0,0,0,334,252
1745906893.941546,128,0,0,0,0,335,253
