timestamp,emg,front_left_sensor_1,front_left_sensor_2,front_right_sensor_1,front_right_sensor_2,back_left_sensor,back_right_sensor
1745907357.789566,25,0,0,714,714,0,101
1745907357.7898939,24,0,0,716,716,0,97
1745907357.790195,21,0,0,719,719,0,93
1745907357.7905128,24,0,0,713,713,0,96
1745907357.790826,20,0,0,713,713,0,92
1745907357.791122,21,0,0,712,712,0,93
1745907357.791349,19,0,0,710,710,0,91
1745907357.791596,20,0,0,710,710,0,93
1745907357.791811,18,0,0,709,709,0,95
1745907357.792042,16,0,0,709,709,0,96
1745907357.792255,19,0,0,706,706,0,97
1745907357.792501,19,0,0,704,704,0,97
1745907357.792728,23,0,0,704,704,0,105
1745907357.7929542,24,0,0,700,700,0,105
1745907357.793182,23,0,0,700,700,0,108
1745907357.793426,20,0,0,699,699,0,103
1745907357.793643,19,0,0,700,700,0,86
1745907357.793783,22,0,0,701,701,0,95
1745907357.793951,19,0,0,701,701,0,98
1745907357.8267462,18,0,0,702,702,0,98
1745907357.878308,20,0,0,705,705,0,99
1745907357.930829,18,0,0,708,708,0,100
1745907357.982694,20,0,0,709,709,0,104
1745907358.034258,21,0,0,710,710,0,100
1745907358.085901,23,0,0,710,710,0,104
1745907358.137259,23,0,0,711,711,0,104
1745907358.1889439,29,0,0,712,712,0,106
1745907358.240555,25,0,0,713,713,0,105
1745907358.292326,25,0,0,713,713,0,102
