timestamp,emg,front_left_sensor_1,front_left_sensor_2,front_right_sensor_1,front_right_sensor_2,back_left_sensor,back_right_sensor
1745906916.1182752,126,0,0,0,0,274,239
1745906916.1186152,153,0,0,0,0,272,238
1745906916.118865,134,0,0,0,0,272,242
1745906916.1190841,121,0,0,0,0,269,245
1745906916.119303,116,0,0,0,0,273,248
1745906916.119522,101,0,0,0,0,272,251
1745906916.119757,98,0,0,0,0,274,253
1745906916.1199841,104,0,0,0,0,280,252
1745906916.120204,143,0,0,0,0,276,248
1745906916.1204212,129,0,0,0,0,276,243
1745906916.1206558,122,0,0,0,0,275,241
1745906916.120883,133,0,0,0,0,274,238
1745906916.121121,129,0,0,0,0,276,236
1745906916.121359,112,0,0,0,0,270,239
1745906916.1215858,97,0,0,0,0,265,237
1745906916.1218119,111,0,0,0,0,266,239
1745906916.122029,98,0,0,0,0,264,240
1745906916.122273,89,0,0,0,0,265,241
1745906916.122509,122,0,0,0,0,265,239
1745906916.154687,131,0,0,0,0,264,239
1745906916.206513,124,0,0,0,0,258,246
1745906916.25794,122,0,0,0,0,256,244
1745906916.30954,160,0,0,0,0,255,244
1745906916.361411,143,0,0,0,0,253,241
1745906916.412402,138,0,0,0,0,252,240
1745906916.4639208,119,0,0,0,0,250,239
1745906916.515708,134,0,0,0,0,249,240
1745906916.567172,104,0,0,0,0,248,240
1745906916.61832,91,0,0,0,0,245,239
