timestamp,emg,front_left_sensor_1,front_left_sensor_2,front_right_sensor_1,front_right_sensor_2,back_left_sensor,back_right_sensor
1745906943.323175,158,0,0,0,0,337,280
1745906943.3233018,168,0,0,0,0,336,278
1745906943.323426,121,0,0,0,0,338,280
1745906943.3235478,118,0,0,0,0,332,280
1745906943.3236742,117,0,0,0,0,332,280
1745906943.323798,123,0,0,0,0,331,275
1745906943.3239129,96,0,0,0,0,330,274
1745906943.324033,122,0,0,0,0,336,274
1745906943.3241532,141,0,0,0,0,337,280
1745906943.3242729,136,0,0,0,0,339,282
1745906943.324393,177,0,0,0,0,339,281
1745906943.324521,186,0,0,0,0,341,282
1745906943.32464,158,0,0,0,0,341,285
1745906943.3247669,130,0,0,0,0,340,287
1745906943.324887,122,0,0,0,0,339,288
1745906943.3250072,128,0,0,0,0,336,288
1745906943.325129,135,0,0,0,0,336,289
1745906943.325249,172,0,0,0,0,330,290
1745906943.3253849,128,0,0,0,0,331,293
1745906943.359491,134,0,0,0,0,335,292
1745906943.411127,152,0,0,0,0,335,295
1745906943.462655,186,0,0,0,0,334,295
1745906943.5141912,154,0,0,0,0,333,297
1745906943.566046,156,0,0,0,0,337,298
1745906943.618044,155,0,0,0,0,337,298
1745906943.668757,143,0,0,0,0,336,298
1745906943.720288,143,0,0,0,0,334,299
1745906943.771904,134,0,0,0,0,331,299
1745906943.8234649,110,0,0,0,0,331,296
