timestamp,emg,front_left_sensor_1,front_left_sensor_2,front_right_sensor_1,front_right_sensor_2,back_left_sensor,back_right_sensor
1745907131.706298,100,769,0,894,894,0,0
1745907131.7065878,92,769,0,894,894,0,0
1745907131.70682,111,769,0,894,894,0,0
1745907131.7074602,107,769,0,894,894,0,0
1745907131.7078772,95,769,0,894,894,0,0
1745907131.708061,96,768,0,894,894,0,0
1745907131.70825,171,764,0,894,894,0,0
1745907131.708438,268,762,0,895,895,0,0
1745907131.708598,234,758,0,895,895,0,0
1745907131.7087529,230,758,0,895,895,0,0
1745907131.709019,263,758,0,895,895,0,0
1745907131.7092202,211,758,0,895,895,0,0
1745907131.709402,182,755,0,895,895,0,0
1745907131.709559,144,752,0,894,894,0,0
1745907131.709714,150,751,0,894,894,0,0
1745907131.709868,128,754,0,895,895,0,0
1745907131.710023,138,753,0,895,895,0,0
1745907131.710172,81,753,0,897,897,0,0
1745907131.710319,85,750,0,897,897,0,0
1745907131.746913,106,739,0,897,897,0,0
1745907131.7987719,161,731,0,899,899,0,0
1745907131.8503969,110,726,0,899,899,0,0
1745907131.901844,104,725,0,899,899,0,0
1745907131.9522738,87,727,0,900,900,0,0
1745907132.0041978,91,728,0,901,901,0,0
1745907132.055858,82,727,0,901,901,0,0
1745907132.1085608,102,727,0,901,901,0,0
1745907132.160046,110,728,0,902,902,0,0
1745907132.21024,86,736,0,902,902,0,0
