timestamp,emg,front_left_sensor_1,front_left_sensor_2,front_right_sensor_1,front_right_sensor_2,back_left_sensor,back_right_sensor
1745907136.2317262,96,741,0,893,893,0,0
1745907136.231951,101,741,0,893,893,0,0
1745907136.232146,76,742,0,892,892,0,0
1745907136.2323542,90,745,0,892,892,0,0
1745907136.232547,76,747,0,892,892,0,0
1745907136.232739,73,748,0,891,891,0,0
1745907136.232929,74,748,0,890,890,0,0
1745907136.23312,75,750,0,890,890,0,0
1745907136.233312,92,750,0,890,890,0,0
1745907136.233511,110,750,0,890,890,0,0
1745907136.2337039,81,748,0,890,890,0,0
1745907136.2339048,90,747,0,891,891,0,0
1745907136.234105,79,750,0,893,893,0,0
1745907136.234297,87,751,0,893,893,0,0
1745907136.234633,102,747,0,890,890,0,0
1745907136.234794,92,730,0,890,890,0,0
1745907136.234953,104,715,0,891,891,0,0
1745907136.235113,105,711,0,894,894,0,0
1745907136.2352698,105,718,0,894,894,0,0
1745907136.272019,103,723,0,894,894,0,0
1745907136.32262,99,721,0,894,894,0,0
1745907136.374327,98,718,0,893,893,0,0
1745907136.425688,87,712,0,891,891,0,0
1745907136.477466,75,711,0,891,891,0,0
1745907136.529034,84,713,0,891,891,0,0
1745907136.5807009,83,714,0,891,891,0,0
1745907136.6321962,83,714,0,892,892,0,0
1745907136.683629,82,716,0,893,893,0,0
1745907136.735345,98,715,0,893,893,0,0
