timestamp,emg,front_left_sensor_1,front_left_sensor_2,front_right_sensor_1,front_right_sensor_2,back_left_sensor,back_right_sensor
1745907384.946082,16,0,0,706,706,0,98
1745907384.946413,15,0,0,706,706,0,102
1745907384.946741,14,0,0,706,706,0,101
1745907384.947062,14,0,0,706,706,0,101
1745907384.947383,16,0,0,706,706,0,101
1745907384.947645,16,0,0,706,706,0,100
1745907384.947882,17,0,0,706,706,0,99
1745907384.9481,16,0,0,707,707,0,96
1745907384.94833,16,0,0,706,706,0,95
1745907384.9485571,16,0,0,702,702,0,95
1745907384.948788,18,0,0,704,704,0,93
1745907384.94907,21,0,0,705,705,0,94
1745907384.9493299,21,0,0,702,702,0,93
1745907384.9496791,22,0,0,703,703,0,94
1745907384.949874,21,0,0,701,701,0,94
1745907384.9500449,17,0,0,702,702,0,95
1745907384.950222,17,0,0,704,704,0,101
1745907384.950408,16,0,0,702,702,0,103
1745907384.9505851,16,0,0,705,705,0,100
1745907384.988652,16,0,0,704,704,0,101
1745907385.040257,17,0,0,705,705,0,101
1745907385.092011,18,0,0,705,705,0,101
1745907385.14379,19,0,0,703,703,0,102
1745907385.195213,19,0,0,702,702,0,103
1745907385.246797,19,0,0,702,702,0,103
1745907385.298547,16,0,0,697,697,0,103
1745907385.351541,18,0,0,696,696,0,103
1745907385.401223,20,0,0,697,697,0,103
1745907385.453249,19,0,0,696,696,0,102
