timestamp,emg,front_left_sensor_1,front_left_sensor_2,front_right_sensor_1,front_right_sensor_2,back_left_sensor,back_right_sensor
1745907506.309736,16,0,0,0,0,0,0
1745907506.309985,20,0,0,0,0,0,0
1745907506.310217,17,0,0,0,0,0,0
1745907506.310461,17,0,0,0,0,0,0
1745907506.3107069,16,0,0,0,0,0,0
1745907506.310956,15,0,0,0,0,0,0
1745907506.3112068,15,0,0,0,0,0,0
1745907506.311459,14,0,0,0,0,0,0
1745907506.311629,16,0,0,0,0,0,0
1745907506.311798,14,0,0,0,0,0,0
1745907506.311986,16,0,0,0,0,0,0
1745907506.312167,19,0,0,0,0,0,0
1745907506.312345,24,0,0,0,0,0,0
1745907506.312513,19,0,0,0,0,0,0
1745907506.31268,15,0,0,0,0,0,0
1745907506.312877,13,0,0,0,0,0,0
1745907506.313044,14,0,0,0,0,0,0
1745907506.3132129,15,0,0,0,0,0,0
1745907506.3133812,26,0,0,0,0,0,0
1745907506.335652,28,0,0,0,0,0,0
1745907506.3870568,21,0,0,0,0,0,0
1745907506.438313,17,0,0,0,0,0,0
1745907506.489859,18,0,0,0,0,0,0
1745907506.54096,19,0,0,0,0,0,0
1745907506.592541,25,0,0,0,0,0,0
1745907506.643924,29,0,0,0,0,0,0
1745907506.695155,31,0,0,0,0,0,0
1745907506.746539,29,0,0,0,0,0,0
1745907506.7978098,26,0,0,0,0,0,0
1745907506.848902,20,0,0,0,0,0,0
