timestamp,emg,front_left_sensor_1,front_left_sensor_2,front_right_sensor_1,front_right_sensor_2,back_left_sensor,back_right_sensor
1745907403.0746229,370,0,0,643,643,0,91
1745907403.07493,262,0,0,644,644,0,98
1745907403.075129,271,0,0,642,642,0,98
1745907403.075278,284,0,0,628,628,0,92
1745907403.0754309,273,0,0,617,617,0,88
1745907403.075588,365,0,0,629,629,0,94
1745907403.0757408,347,0,0,638,638,0,85
1745907403.0758872,304,0,0,642,642,0,92
1745907403.076035,277,0,0,642,642,0,90
1745907403.076189,314,0,0,642,642,0,91
1745907403.0763361,355,0,0,639,639,0,90
1745907403.0764842,335,0,0,635,635,0,84
1745907403.07663,285,0,0,638,638,0,91
1745907403.076777,297,0,0,640,640,0,95
1745907403.0769238,299,0,0,640,640,0,96
1745907403.077078,344,0,0,640,640,0,100
1745907403.0772321,293,0,0,641,641,0,102
1745907403.077385,312,0,0,641,641,0,101
1745907403.077536,321,0,0,642,642,0,100
1745907403.113516,328,0,0,642,642,0,100
1745907403.164945,303,0,0,644,644,0,102
1745907403.216746,272,0,0,644,644,0,105
1745907403.268327,306,0,0,646,646,0,100
1745907403.318958,261,0,0,648,648,0,94
1745907403.370645,215,0,0,656,656,0,77
1745907403.4218502,261,0,0,657,657,0,90
1745907403.474133,262,0,0,663,663,0,80
1745907403.525471,246,0,0,677,677,0,90
1745907403.577274,272,0,0,687,687,0,82
