timestamp,emg,front_left_sensor_1,front_left_sensor_2,front_right_sensor_1,front_right_sensor_2,back_left_sensor,back_right_sensor
1745906929.697214,72,0,0,0,0,308,273
1745906929.6973372,85,0,0,0,0,308,273
1745906929.697459,136,0,0,0,0,312,273
1745906929.697588,128,0,0,0,0,307,272
1745906929.697713,138,0,0,0,0,308,272
1745906929.6978402,135,0,0,0,0,313,270
1745906929.697967,122,0,0,0,0,323,265
1745906929.698087,138,0,0,0,0,326,254
1745906929.698248,108,0,0,0,0,320,221
1745906929.698377,129,0,0,0,0,323,203
1745906929.6985018,108,0,0,0,0,321,210
1745906929.6986291,101,0,0,0,0,307,211
1745906929.698744,78,0,0,0,0,299,209
1745906929.698865,101,0,0,0,0,296,216
1745906929.6989791,88,0,0,0,0,297,216
1745906929.6990988,103,0,0,0,0,291,216
1745906929.6992152,92,0,0,0,0,281,217
1745906929.6993659,116,0,0,0,0,278,229
1745906929.699492,135,0,0,0,0,278,231
1745906929.7327712,140,0,0,0,0,273,230
1745906929.784201,177,0,0,0,0,276,231
1745906929.835545,128,0,0,0,0,282,233
1745906929.887108,114,0,0,0,0,282,237
1745906929.938853,123,0,0,0,0,287,233
1745906929.990365,134,0,0,0,0,284,235
1745906930.042287,124,0,0,0,0,282,236
1745906930.093578,105,0,0,0,0,286,233
1745906930.1453462,120,0,0,0,0,292,234
1745906930.197035,138,0,0,0,0,292,235
