timestamp,emg,front_left_sensor_1,front_left_sensor_2,front_right_sensor_1,front_right_sensor_2,back_left_sensor,back_right_sensor
1745907263.066755,121,753,356,0,0,192,0
1745907263.067115,121,753,374,0,0,191,0
1745907263.067461,91,752,375,0,0,194,0
1745907263.067796,100,752,379,0,0,194,0
1745907263.0681212,102,752,386,0,0,193,0
1745907263.068465,80,751,385,0,0,193,0
1745907263.068785,81,751,386,0,0,191,0
1745907263.0691211,74,751,385,0,0,192,0
1745907263.069468,77,751,387,0,0,190,0
1745907263.069818,61,749,384,0,0,189,0
1745907263.070152,71,749,384,0,0,188,0
1745907263.070511,94,750,383,0,0,188,0
1745907263.0708401,96,748,379,0,0,185,0
1745907263.0711548,74,750,375,0,0,186,0
1745907263.0715148,68,750,366,0,0,187,0
1745907263.071719,79,751,332,0,0,188,0
1745907263.0719209,87,752,329,0,0,189,0
1745907263.072128,104,753,325,0,0,189,0
1745907263.072331,77,753,321,0,0,188,0
1745907263.102581,81,753,316,0,0,188,0
1745907263.154235,74,753,316,0,0,188,0
1745907263.205825,65,754,316,0,0,188,0
1745907263.2577229,89,755,316,0,0,189,0
1745907263.310442,108,754,316,0,0,186,0
1745907263.360818,87,755,316,0,0,188,0
1745907263.412468,75,755,316,0,0,183,0
1745907263.464195,81,755,316,0,0,184,0
1745907263.515627,64,755,316,0,0,185,0
1745907263.5672781,77,755,316,0,0,188,0
