timestamp,emg,front_left_sensor_1,front_left_sensor_2,front_right_sensor_1,front_right_sensor_2,back_left_sensor,back_right_sensor
1745907407.6015308,179,0,0,710,710,0,95
1745907407.601629,227,0,0,709,709,0,92
1745907407.6017249,204,0,0,709,709,0,97
1745907407.60182,197,0,0,709,709,0,98
1745907407.6019142,275,0,0,709,709,0,95
1745907407.6020129,209,0,0,709,709,0,104
1745907407.6021109,177,0,0,710,710,0,105
1745907407.602207,202,0,0,710,710,0,100
1745907407.6023,175,0,0,710,710,0,94
1745907407.6023932,154,0,0,710,710,0,99
1745907407.6024861,163,0,0,710,710,0,95
1745907407.6025789,170,0,0,710,710,0,96
1745907407.6026611,188,0,0,710,710,0,85
1745907407.6027431,151,0,0,709,709,0,82
1745907407.6028259,167,0,0,709,709,0,85
1745907407.602907,170,0,0,708,708,0,87
1745907407.602988,161,0,0,708,708,0,89
1745907407.6030688,208,0,0,709,709,0,99
1745907407.6031501,180,0,0,708,708,0,91
1745907407.641525,147,0,0,709,709,0,88
1745907407.69311,149,0,0,709,709,0,70
1745907407.744782,177,0,0,708,708,0,89
1745907407.796622,214,0,0,709,709,0,85
1745907407.848384,200,0,0,710,710,0,84
1745907407.8996758,168,0,0,711,711,0,85
1745907407.951474,170,0,0,711,711,0,87
1745907408.003194,159,0,0,711,711,0,90
1745907408.0549052,269,0,0,710,710,0,90
1745907408.106345,236,0,0,710,710,0,93
